sigla_partido;status;ideologia
AVANTE;ativo;centro
CIDADANIA;ativo;centro
MDB;ativo;centro
MISSAO;ativo;centro
NOVO;ativo;direita
PCDOB;ativo;esquerda
PDT;ativo;esquerda
PL;ativo;direita
PODE;ativo;centro
PP;ativo;direita
PRD;ativo;centro
PSB;ativo;esquerda
PSD;ativo;centro
PSDB;ativo;centro
PSOL;ativo;esquerda
PT;ativo;esquerda
PV;ativo;esquerda
REDE;ativo;esquerda
REPUBLICANOS;ativo;direita
SOLIDARIEDADE;ativo;centro
UNIAO;ativo;centro
ARENA;historico;direita
PATRIOTA;historico;direita
PROS;historico;centro
PSC;historico;direita
PTB;historico;direita
